[2013-11-16 16:37:19] EDIT p1/views/layout.html: 0
[2013-11-16 16:38:52] EDIT p1/views/layout.html: 0
[2013-11-16 16:39:14] EDIT p1/views/layout.html: 0
[2013-11-16 16:40:21] EDIT p1/views/layout.html: 0
[2013-11-16 16:41:14] EDIT p1/views/layout.html: 0
[2013-11-16 16:42:41] EDIT p1/views/layout.html: 1
[2013-11-16 16:43:28] EDIT p1/views/layout.html: -1
[2013-11-16 16:44:11] EDIT p1/views/layout.html: 1
[2013-11-16 16:50:48] CREATE globalFunct.py: 0
[2013-11-16 16:51:33] EDIT p1/models/globalFunct.py: 6
[2013-11-16 16:51:54] EDIT p1/views/layout.html: -1
[2013-11-16 16:53:26] EDIT p1/controllers/default.py: 0
[2013-11-16 16:53:49] EDIT p1/models/globalFunct.py: -6
[2013-11-16 16:54:52] EDIT p1/views/layout.html: 0
[2013-11-16 17:06:53] EDIT p1/views/layout.html: 0
[2013-11-16 17:07:31] EDIT p1/views/layout.html: 0
[2013-11-16 17:07:51] EDIT p1/views/layout.html: 0
[2013-11-16 17:08:12] EDIT p1/views/layout.html: 0
[2013-11-16 17:08:36] EDIT p1/views/layout.html: 0
[2013-11-16 17:18:01] EDIT p1/views/layout.html: 5
[2013-11-16 17:18:43] EDIT p1/views/layout.html: 0
[2013-11-16 17:20:31] EDIT p1/views/layout.html: 0
[2013-11-16 17:20:55] EDIT p1/views/layout.html: 0
[2013-11-16 17:22:13] EDIT p1/views/layout.html: -5
[2013-11-16 17:25:45] EDIT p1/views/layout.html: 0
[2013-11-16 17:26:50] EDIT p1/views/layout.html: 0
[2013-11-16 17:27:12] EDIT p1/views/layout.html: 0
[2013-11-16 17:27:36] EDIT p1/views/layout.html: 0
[2013-11-16 17:28:03] EDIT p1/views/layout.html: 0
[2013-11-16 17:32:58] EDIT p1/views/layout.html: 0
[2013-11-16 17:33:39] EDIT p1/views/layout.html: 0
[2013-11-16 17:35:05] EDIT p1/views/layout.html: 0
[2013-11-16 17:37:20] EDIT p1/views/layout.html: 0
[2013-11-16 17:37:35] EDIT p1/views/layout.html: 0
[2013-11-16 17:38:00] EDIT p1/views/layout.html: 0
[2013-11-16 17:38:21] EDIT p1/views/layout.html: 0
[2013-11-16 17:39:24] EDIT p1/views/layout.html: 0
[2013-11-16 17:39:58] EDIT p1/views/layout.html: 0
[2013-11-16 17:45:49] EDIT p1/views/layout.html: 0
[2013-11-16 17:48:41] EDIT p1/views/layout.html: 0
[2013-11-16 17:49:17] EDIT p1/views/layout.html: 0
[2013-11-16 17:53:28] EDIT p1/views/layout.html: 0
[2013-11-16 17:55:08] EDIT p1/views/layout.html: 0
[2013-11-16 17:55:32] EDIT p1/views/layout.html: 0
[2013-11-16 17:58:54] EDIT p1/views/layout.html: 0
[2013-11-16 18:14:05] EDIT p1/views/layout.html: 0
[2013-11-16 18:15:04] EDIT p1/views/layout.html: 0
[2013-11-16 18:16:22] EDIT p1/views/layout.html: 0
[2013-11-16 18:17:19] EDIT p1/views/layout.html: 0
[2013-11-16 18:18:08] EDIT p1/views/layout.html: 0
[2013-11-16 18:18:29] EDIT p1/views/layout.html: 0
[2013-11-16 18:20:23] EDIT p1/views/layout.html: -4
[2013-11-16 18:20:56] EDIT p1/views/layout.html: 4
[2013-11-16 18:21:09] EDIT p1/views/layout.html: 0
[2013-11-16 18:21:45] EDIT p1/views/layout.html: 0
[2013-11-16 19:25:59] EDIT p1/views/layout.html: 0
[2013-11-16 19:26:06] EDIT p1/views/layout.html: 0
[2013-11-16 19:26:25] EDIT p1/views/layout.html: 0
[2013-11-16 22:31:54] EDIT p1/views/layout.html: 0
[2013-11-16 23:14:14] EDIT p1/views/default/index.html: 0
[2013-11-16 23:14:25] EDIT p1/views/default/index.html: 0
[2013-11-16 23:14:48] EDIT p1/views/default/index.html: 0
[2013-11-16 23:23:03] EDIT p1/views/default/index.html: 0
[2013-11-16 23:23:16] EDIT p1/views/default/index.html: 0
[2013-11-16 23:24:10] EDIT p1/views/layout.html: 0
[2013-11-16 23:27:15] EDIT p1/views/layout.html: 0
[2013-11-16 23:27:43] EDIT p1/views/layout.html: 0
[2013-11-16 23:28:03] EDIT p1/views/layout.html: 0
[2013-11-16 23:28:44] EDIT p1/views/layout.html: 0
[2013-11-16 23:29:00] EDIT p1/views/layout.html: 0
[2013-11-16 23:31:55] EDIT p1/views/layout.html: 0
[2013-11-16 23:36:43] EDIT p1/views/layout.html: 0
[2013-11-20 12:33:00] EDIT p1/views/layout.html: 0
[2013-11-20 12:34:03] EDIT p1/views/layout.html: 0
[2013-11-20 12:36:56] EDIT p1/views/layout.html: 0
[2013-11-20 12:38:22] EDIT p1/views/layout.html: 0
[2013-11-20 12:40:26] EDIT p1/views/layout.html: 0
[2013-11-20 12:42:10] EDIT p1/views/layout.html: 0
[2013-11-20 12:47:48] EDIT p1/views/layout.html: 0
[2013-11-20 12:48:04] EDIT p1/views/layout.html: 0
[2013-11-20 12:49:36] EDIT p1/views/layout.html: 2
[2013-11-20 12:50:51] EDIT p1/views/layout.html: -2
[2013-11-20 13:03:46] EDIT p1/views/layout.html: 0
[2013-11-20 13:11:43] EDIT p1/views/layout.html: 3
[2013-11-20 13:12:10] EDIT p1/views/layout.html: -3
[2013-11-20 15:15:16] EDIT p1/views/layout.html: 0
[2013-11-20 15:29:36] EDIT p1/views/layout.html: 0
[2013-11-20 15:32:29] EDIT p1/views/layout.html: 0
[2013-11-20 15:38:14] EDIT p1/views/layout.html: 0
[2013-11-20 15:46:29] EDIT p1/views/layout.html: 0
[2013-11-20 15:47:12] EDIT p1/views/layout.html: 0
[2013-11-20 15:53:08] EDIT p1/views/layout.html: 0
[2013-11-20 15:54:03] EDIT p1/views/layout.html: 0
[2013-11-20 15:55:52] EDIT p1/views/layout.html: 4
[2013-11-20 15:57:20] EDIT p1/views/layout.html: 2
[2013-11-20 15:59:52] EDIT p1/views/layout.html: 0
[2013-11-20 16:15:35] EDIT p1/views/layout.html: 0
[2013-11-20 16:16:45] EDIT p1/views/layout.html: 0
[2013-11-20 16:18:50] EDIT p1/views/layout.html: 1
[2013-11-20 16:20:46] EDIT p1/views/layout.html: -1
[2013-11-20 22:50:22] CREATE message.py: 0
[2013-11-20 22:50:33] EDIT p1/models/message.py: 24
[2013-11-20 22:51:14] EDIT p1/controllers/default.py: 11
[2013-11-20 22:56:48] CREATE default/create_message.html: 0
[2013-11-20 22:56:59] EDIT p1/views/default/create_message.html: -1
[2013-11-20 23:00:06] EDIT p1/views/default/inbox.html: 4
[2013-11-20 23:00:40] EDIT p1/views/default/inbox.html: -4
[2013-11-20 23:01:57] EDIT p1/views/default/inbox.html: 4
[2013-11-20 23:11:34] EDIT p1/views/default/index.html: 0
[2013-11-20 23:15:32] EDIT p1/views/default/inbox.html: 1
[2013-11-20 23:18:45] EDIT p1/views/default/inbox.html: 0
[2013-11-20 23:19:14] EDIT p1/views/default/inbox.html: 0
[2013-11-20 23:20:58] EDIT p1/views/default/inbox.html: 3
[2013-11-21 22:01:57] EDIT p1/views/default/profile.html: -7
[2013-11-21 22:04:32] EDIT p1/views/layout.html: 0
[2013-11-21 22:05:40] EDIT p1/views/layout.html: 0
[2013-11-21 22:06:14] EDIT p1/views/layout.html: 0
[2013-11-21 22:06:21] EDIT p1/views/layout.html: 0
[2013-11-21 22:06:42] EDIT p1/views/layout.html: 0
[2013-11-21 22:24:05] EDIT p1/views/default/inbox.html: 2
[2013-11-21 22:37:17] EDIT p1/views/default/inbox.html: 7
[2013-11-21 22:37:38] EDIT p1/views/default/inbox.html: 1
[2013-11-21 22:38:18] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:42:09] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:42:44] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:43:04] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:43:33] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:44:01] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:44:19] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:45:22] EDIT p1/views/default/inbox.html: 2
[2013-11-21 22:46:05] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:46:19] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:46:43] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:47:07] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:48:44] EDIT p1/models/message.py: 0
[2013-11-21 22:50:55] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:54:32] EDIT p1/views/default/inbox.html: 2
[2013-11-21 22:54:53] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:56:18] EDIT p1/views/default/inbox.html: -1
[2013-11-21 22:56:56] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:57:11] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:58:31] EDIT p1/views/default/inbox.html: 3
[2013-11-21 22:59:10] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:59:37] EDIT p1/views/default/inbox.html: 0
[2013-11-21 22:59:59] EDIT p1/views/default/inbox.html: 0
[2013-11-21 23:03:05] EDIT p1/views/default/profile.html: 0
[2013-11-21 23:03:24] EDIT p1/views/default/profile.html: 0
[2013-11-21 23:03:49] EDIT p1/views/default/profile.html: 0
[2013-11-21 23:07:08] EDIT p1/views/default/inbox.html: 0
[2013-11-21 23:09:07] EDIT p1/views/default/inbox.html: 0
[2013-11-21 23:11:45] EDIT p1/models/message.py: 5
[2013-11-21 23:15:46] EDIT p1/models/message.py: 3
[2013-11-21 23:16:01] EDIT p1/models/message.py: 0
[2013-11-21 23:16:59] EDIT p1/models/message.py: -8
[2013-11-21 23:17:58] EDIT p1/models/message.py: 0
[2013-11-21 23:19:28] EDIT p1/models/message.py: 0
[2013-11-21 23:19:32] EDIT p1/models/message.py: 0
[2013-11-21 23:19:59] EDIT p1/models/message.py: 0
[2013-11-21 23:20:22] EDIT p1/models/message.py: 0
[2013-11-21 23:20:59] EDIT p1/models/message.py: 0
[2013-11-21 23:22:57] EDIT p1/views/default/index.html: -19
[2013-11-21 23:33:50] EDIT p1/views/default/index.html: 0
[2013-11-21 23:33:51] EDIT p1/views/default/index.html: 0
[2013-11-21 23:40:26] EDIT p1/views/default/index.html: 3
[2013-11-21 23:41:00] EDIT p1/views/default/index.html: 0
[2013-11-22 12:44:21] EDIT p1halfway/controllers/default.py: 1
[2013-11-22 12:59:23] EDIT p1halfway/models/globalFunct.py: 6
[2013-11-22 12:59:49] EDIT p1halfway/views/default/inbox.html: 0
[2013-11-22 13:01:17] EDIT p1halfway/models/globalFunct.py: 0
[2013-11-22 13:03:43] EDIT p1halfway/models/message.py: 0
[2013-11-22 13:04:49] EDIT p1halfway/models/globalFunct.py: 0
[2013-11-22 13:05:16] EDIT p1halfway/views/default/inbox.html: 0
[2013-11-22 13:05:47] EDIT p1halfway/views/default/inbox.html: 0
[2013-11-22 13:06:23] EDIT p1halfway/models/tables.py: 6
[2013-11-22 13:06:42] EDIT p1halfway/models/tables.py: 0
[2013-11-22 13:07:35] EDIT p1halfway/models/globalFunct.py: 0
[2013-11-22 13:07:48] EDIT p1halfway/models/message.py: 0
[2013-11-22 13:08:27] EDIT p1halfway/models/message.py: 0
[2013-11-22 13:09:19] EDIT p1halfway/models/tables.py: -1
[2013-11-22 13:10:12] EDIT p1halfway/models/tables.py: 6
[2013-11-22 13:18:08] EDIT p1halfway/models/tables.py: 0
[2013-11-22 13:18:11] EDIT p1halfway/models/message.py: -5
[2013-11-22 13:23:14] EDIT p1halfway/models/tables.py: 3
[2013-11-22 13:23:21] EDIT p1halfway/models/tables.py: 0
[2013-11-22 13:26:06] EDIT p1halfway/models/tables.py: 0
[2013-11-22 13:28:07] EDIT p1halfway/views/default/index.html: 6
[2013-11-22 13:28:24] EDIT p1halfway/views/default/index.html: 0
[2013-11-22 13:32:43] EDIT p1halfway/models/tables.py: 3
